Order,Type,ID,Block,AccInc,AccTemp,Stage,Mass,PerfRound,PrevTemp,PerfTemp,PerfInc,TimeStart,O2Start,AvgO2Start,TempStart,TimeStop,O2Stop,TempStop,Time,O2,O2/Time,O2/Time/Mass,corO2/Time/Mass
335,tad,T17,2,3,22,27,1.126,3,19,25,P33,5:06,,8.143333333,,5:57,7.92,23.2,51,0.223333333,0.004379085,0.003889063,0.002216766
336,tad,T28,2,4,28,28,0.775,3,19,25,P33,5:08,,8.143333333,,5:59,7.92,24.2,51,0.223333333,0.004379085,0.005650432,0.003220746
337,tad,T61,2,8,13,28,0.987,3,19,25,P33,5:10,,8.143333333,,6:02,7.79,24.2,52,0.353333333,0.006794872,0.006884369,0.00392409
338,control,C17,2,NA,NA,NA,NA,3,19,25,P33,5:07,8.15,8.143333333,23.3,5:58,8.05,23.4,51,0.093333333,0.001830065,,
339,control,C28,2,NA,NA,NA,NA,3,19,25,P33,5:09,8.19,8.143333333,23.5,6:01,8.1,24.2,52,0.043333333,0.000833333,,
340,control,C61,2,NA,NA,NA,NA,3,19,25,P33,5:11,8.09,8.143333333,23.9,6:03,8.02,24.2,52,0.123333333,0.002371795,,
341,tad,T21,2,3,22,27,0.419,3,22,28,,5:22,,7.813333333,,6:11,7.73,26,49,0.083333333,0.00170068,0.004058903,0.002313575
342,tad,T25,2,4,28,27,0.796,3,22,28,,5:25,,7.813333333,,6:15,7.6,27,50,0.213333333,0.004266667,0.005360134,0.003055276
343,tad,T58,2,8,13,28,0.545,3,22,28,,5:28,,7.813333333,,6:18,7.62,27.1,50,0.193333333,0.003866667,0.007094801,0.004044037
344,control,C21,2,NA,NA,NA,NA,3,22,28,,5:23,7.82,7.813333333,27.6,6:14,7.72,26.3,51,0.093333333,0.001830065,,
345,control,C25,2,NA,NA,NA,NA,3,22,28,,5:26,7.82,7.813333333,27.4,6:17,7.75,27,51,0.063333333,0.00124183,,
346,control,C58,2,NA,NA,NA,NA,3,22,28,,5:28,7.8,7.813333333,27.2,6:19,7.72,27,51,0.093333333,0.001830065,,
347,tad,T18,2,3,22,26,0.613,3,25,31,,5:30,,6.96,,6:21,6.76,29.1,51,0.2,0.003921569,0.006397339,0.003646483
348,tad,T27,2,4,28,26,0.299,3,25,31,,5:33,,6.96,,6:23,6.77,29.6,50,0.19,0.0038,0.01270903,0.007244147
349,tad,T59,2,8,13,27,0.605,3,25,31,,5:36,,6.96,,6:27,6.71,29.9,51,0.25,0.004901961,0.008102415,0.004618377
350,control,C18,2,NA,NA,NA,NA,3,25,31,,5:31,6.97,6.96,29.7,6:22,6.88,28.8,51,0.08,0.001568627,,
351,control,C27,2,NA,NA,NA,NA,3,25,31,,5:33,6.97,6.96,29.7,6:25,6.87,29,52,0.09,0.001730769,,
352,control,C59,2,NA,NA,NA,NA,3,25,31,,5:37,6.94,6.96,29.9,6:28,6.86,29.3,51,0.1,0.001960784,,
353,tad,T19,2,3,22,29,0.982,3,28,34,,3:52,,7.266666667,,4:41,7,31,49,0.266666667,0.005442177,0.005541932,0.003158901
354,tad,T32,2,4,28,26,0.305,3,28,34,,3:55,,7.266666667,,4:44,7.02,32.6,49,0.246666667,0.005034014,0.016504963,0.009407829
355,tad,T64,2,8,13,26,0.592,3,28,34,,3:58,,7.266666667,,4:47,6.9,32.6,49,0.366666667,0.007482993,0.012640191,0.007204909
356,control,C19,2,NA,NA,NA,NA,3,28,34,,3:53,7.34,7.266666667,31.7,4:43,7.19,31.2,50,0.076666667,0.001533333,,
357,control,C32,2,NA,NA,NA,NA,3,28,34,,3:56,7.26,7.266666667,32.7,4:45,7.11,32.3,49,0.156666667,0.003197279,,
358,control,C64,2,NA,NA,NA,NA,3,28,34,,3:59,7.2,7.266666667,33.1,4:48,7.06,32.3,49,0.206666667,0.004217687,,
359,tad,T23,2,3,22,28,0.945,3,19,13,,3:32,,10.27,,4:24,10.16,12.6,52,0.11,0.002115385,0.002238502,0.001275946
360,tad,T26,2,4,28,30,1.094,3,19,13,,3:36,,10.27,,4:28,10.22,12.5,52,0.05,0.000961538,0.00087892,0.000500984
361,tad,T60,2,8,13,26,1.262,3,19,13,,3:39,,10.27,,4:31,10.2,12.4,52,0.07,0.001346154,0.001066683,0.000608009
362,control,C23,2,NA,NA,NA,NA,3,19,13,,3:33,10.24,10.27,12.7,4:26,10.26,12.6,53,0.01,0.000188679,,
363,control,C26,2,NA,NA,NA,NA,3,19,13,,3:37,10.29,10.27,12.7,4:30,10.26,12.5,53,0.01,0.000188679,,
364,control,C60,2,NA,NA,NA,NA,3,19,13,,3:39,10.28,10.27,12.6,4:33,10.26,12.4,54,0.01,0.000185185,,
365,tad,T24,2,3,22,26,0.35,3,22,16,P31,5:13,,9.8,,6:05,9.69,14.8,52,0.11,0.002115385,0.006043956,0.003445055
366,tad,T29,2,4,28,27,0.519,3,22,16,P31,5:16,,9.8,,6:07,9.74,14.8,51,0.06,0.001176471,0.002266803,0.001292078
367,tad,T57,2,8,13,27,0.842,3,22,16,P31,5:19,,9.8,,6:09,9.68,14.9,50,0.12,0.0024,0.002850356,0.001624703
368,control,C24,2,NA,NA,NA,NA,3,22,16,P31,5:14,9.78,9.8,14.8,6:06,9.75,14.7,52,0.05,0.000961538,,
369,control,C29,2,NA,NA,NA,NA,3,22,16,P31,5:17,9.82,9.8,14.7,6:08,9.77,14.8,51,0.03,0.000588235,,
370,control,C57,2,NA,NA,NA,NA,3,22,16,P31,5:20,9.8,9.8,14.7,6:10,9.79,14.7,50,0.01,0.0002,,
371,tad,T22,2,3,22,27,0.583,3,25,19,,3:42,,9.15,,4:34,9.008,17.6,52,0.142,0.002730769,0.004683995,0.002669877
372,tad,T31,2,4,28,33,1.401,3,25,19,,3:45,,9.15,,4:36,9,17.8,51,0.15,0.002941176,0.002099341,0.001196624
